Url,Language,Title,Abstract
https://pubmed.ncbi.nlm.nih.gov/33331327,Chinese,Rheumatoid arthritis combined with pigmented villonodular synovitis A case report and literature review,We reported a case of rheumatoid arthritis (RA) combined with pigmented villonodular synovitis (PVNS) from Peking University People's Hospital. ...
https://pubmed.ncbi.nlm.nih.gov/21932657,Chinese,Periodontal therapy for rheumatoid arthritis a systematic review,"OBJECTIVE: To assess the effect and safety of periodontal therapy in relieving the symptoms and clinical signs of rheumatoid arthritis (RA). METHODS: The electronic search was conducted in Medline (OVID, 1950-2010 Sep), EMBASE (1984-2010 Sep), CENTRAL (2010, Issue 3), CBM …"
https://pubmed.ncbi.nlm.nih.gov/34970879,Chinese,Effect of electroacupuncture on autophagy in synovial tissues of rheumatoid arthritis rats,"OBJECTIVE: To observe the effects of electroacupuncture (EA) on autophagosomes, unc-51-like autophage activating kinase 1 (ULK1), Beclin1, and microtubule-associated protein light chain 3 (LC3) expression, and synoviocyte ultrastructure in the synovial tissues of rheumatoid ar …"
https://pubmed.ncbi.nlm.nih.gov/34916680,Chinese,Analysis of cervical instability and clinical characteristics in treatmentnaive rheumatoid arthritis patients,"OBJECTIVE: To study the proportion of cervical spine instability in treatment-naive rheumatoid arthritis (RA) patients, to investigate the associated neck symptoms, and to analyze the clinical characteristics in treatment-naive RA patients and treated RA patients. ..."
https://pubmed.ncbi.nlm.nih.gov/33243729,Chinese,Mechanism of Xiaowugui decoction for treating collageninduced arthritis in mice,OBJECTIVE: To explore the mechanism of Xiaowugui decoction (XWGD) decoction in treating rheumatoid arthritis (RA) in mice. METHODS: Healthy male DBA/1 mice were used for CIA modeling. Twenty-five CIA mice with successful modeling and similar arthritis index (AI) sco …
https://pubmed.ncbi.nlm.nih.gov/33256329,Chinese,Advances and suggestions for option in imaging for juvenile idiopathic arthritis,
https://pubmed.ncbi.nlm.nih.gov/34393234,Chinese,Effect of rebamipide on the acute gouty arthritis in rats induced by monosodium urate crystals,OBJECTIVE: To investigate the role of rebamipide in the treatment of acute gout arthritis rats induced by monosodium urate (MSU) crystal. METHODS: Forty-two male rats were randomly divided into three groups (n=14). ...CONCLUSION: Rebamipide has a protective effect on acute …
https://pubmed.ncbi.nlm.nih.gov/34619835,Chinese,The challenges and opportunities for the management of rheumatoid arthritis in China an annual report of 2019,
https://pubmed.ncbi.nlm.nih.gov/33331312,Chinese,Depression and anxiety in patients with psoriatic arthritis Prevalence and associated factors,"OBJECTIVE: To determine the prevalence of depression and anxiety in patients with psoriatic arthritis (PsA), to investigate whether there is a difference in the prevalence of depression and anxiety between PsA and rheumatoid arthritis (RA) patients and to identify a …"
https://pubmed.ncbi.nlm.nih.gov/34047081,Chinese,Mechanism of OlibanumMyrrha in treatment of rheumatoid arthritis based on network pharmacology and molecular docking,"In this paper, network pharmacology method and molecular docking technique were used to investigate the target genes of Olibanum and Myrrha compatibility and the possible mechanism of action in the treatment of rheumatoid arthritis(RA). Our team obtained the main active co …"
https://pubmed.ncbi.nlm.nih.gov/34916676,Chinese,Effect of chemokines CXCL9 and CXCL10 on bone erosion in patients with rheumatoid arthritis,"OBJECTIVE: To detect the serum level of soluble chemokines CXCL9 and CXCL10 in patients with rheumatoid arthritis (RA), and to analyze their correlation with bone erosion, as well as the clinical significance in RA. ..."
https://pubmed.ncbi.nlm.nih.gov/32627496,Chinese,Mechanism prediction of Simiao Yongan Decoction in treatment of psoriasis arthritis based on network pharmacology,"To explore the main target and signal pathway of Simiao Yongan Decoction in the treatment of psoriatic arthritis(PsA) by network pharmacology, so as to reveal the intervention mechanism of Simiao Yongan Decoction in the treatment of psoriatic arthritis. ...Through d …"
https://pubmed.ncbi.nlm.nih.gov/27045652,Chinese,Clinical and laboratory features of psoriatic arthritis which antedates psoriasis,RESULTS: The occurrence of psoriatic arthritis which antedates psoriasis was 22.1% in the study. The onset of arthritis was 2 months to 25 years earlier than psoriasis. Arthritis of distal interphalangeal (DIP) joints was frequently involved in this group and …
https://pubmed.ncbi.nlm.nih.gov/34472749,Chinese,Effect of electroacupuncture on articular morphological changes and serum inflammatory factors and synovial MMPs in collageninduced arthritis rats,"OBJECTIVE: To observe the effect of electroacupuncture (EA) of ""Zusanli""(ST36) and ""Sanyinjiao""(SP6) on serum TNF-alpha, IL-1beta, and IL-6 and expression of synovial matrimetalloproteinases (MMPs) and articular morphology in collagen-induced arthritis (CIA) rats, so as to …"
https://pubmed.ncbi.nlm.nih.gov/34916678,Chinese,Agreement between ultrasounddetected inflammation and clinical signs in ankles and feet joints in patients with rheumatoid arthritis,OBJECTIVE: To investigate the agreement between clinical signs (tenderness and/or swelling) in ankles and feet joints and ultrasound findings in patients with rheumatoid arthritis (RA). METHODS: RA patients with at least 1 tender and/or swollen joint in bilateral ankles an …
https://pubmed.ncbi.nlm.nih.gov/33663166,Chinese,Opportunities and challenges in early diagnosis of spondyloarthritis the advantages and disadvantages of magnetic resonance imaging in diagnosing sacroiliac arthritis,
https://pubmed.ncbi.nlm.nih.gov/33645133,Chinese,Effect of Xinfeng Capsulescontaining serum on TNFαinduced apoptosis and inflammation of fibroblastlike synoviocytes in rheumatoid arthritis,"The aim of this paper was to observe the effect of Xinfeng Capsules(XFC)-containing serum on the apoptosis and inflammation of fibroblast-like synoviocytes(FLS) in rheumatoid arthritis(RA) induced by tumor necrosis factor-alpha(TNF-alpha), so as to investigate the mechanis …"
https://pubmed.ncbi.nlm.nih.gov/34581063,Chinese,Expert consensus on clinical application of Wangbi Tablets in treating rheumatoid arthritis and knee osteoarthritis,"Wangbi Tablets are widely used in the treatment of rheumatoid arthritis, knee osteoarthritis and other diseases at pre-sent. Long-term clinical application and research have shown that this drug has a good effect in reducing the pain of related diseases and improving sympt …"
https://pubmed.ncbi.nlm.nih.gov/33331310,Chinese,Population distribution and clinical characteristics in rheumatoid arthritis patients with cervical spine instability,"OBJECTIVE: To investigate the population distribution of cervical spine instability in rheumatoid arthritis (RA) patients, and to analyze the clinical characteristics in RA patients with cervical spine instability. ..."
https://pubmed.ncbi.nlm.nih.gov/34994147,Chinese,Xinfeng Capsules promotes apoptosis of synovial fibroblasts and attenuates inflammation in rheumatoid arthritis by regulating lncRNA MAPKAPK5AS1,To explore the regulatory effects of Xinfeng Capsules(XFC) on the apoptosis of synovial fibroblasts(FLS) and inflammation in rheumatoid arthritis(RA) via lncRNA MAPKAPK5-AS1(MK5-AS1). Thirty healthy people and 30 patients with RA due to spleen deficiency and dampness exube …
https://pubmed.ncbi.nlm.nih.gov/33645129,Chinese,Effect of swertiamarin gentiopicrin and sweroside on cell apoptosis and expression of Bcl2 in rheumatoid arthritis fibroblastlike synoviocytes,"The aim of this paper was to discuss the effect of swertiamarin, gentiopicrin and sweroside on rheumatoid arthritis fibroblast-like synoviocytes(RA-FLSs) and B-cell lymphoma-2(Bcl-2) and their mechanisms. ..."
https://pubmed.ncbi.nlm.nih.gov/26775495,Chinese,Overview of Integrative Medical Treatment for Gouty Arthritis,
https://pubmed.ncbi.nlm.nih.gov/33788436,Chinese,Differential metabolites and metabolic pathways involving acupunctureinduced improvement of rheumatoid arthritis patients based on gas chromatographymass spectrometry,OBJECTIVE: To analyze the endogenous metabolic biomarkers and pathways in serum involving acupuncture-induced improvement of symptoms of patients with rheumatoid arthritis (RA) by using metabolomics technique. METHODS: A total of 30 RA patients who were treated in the Depa …
